G 120,120 220,120 123,70
R 121,121 221,121 124,71
B 122,122 222,122 125,72
G 123,123 223,123 126,73
R 124,124 224,124 127,74
B 125,125 225,125 128,75
G 126,126 226,126 129,76
R 127,127 227,127 130,77
B 128,128 228,128 131,78
G 129,129 229,129 132,79
R 130,130 230,130 133,80
B 131,131 231,131 134,81
G 132,132 232,132 135,82
R 133,133 233,133 136,83
B 134,134 234,134 137,84
G 135,135 235,135 138,85
R 136,136 236,136 139,86
B 137,137 237,137 140,87
G 138,138 238,138 141,88
R 139,139 239,139 142,89
B 140,140 240,140 143,90
G 141,141 241,141 144,91
R 142,142 242,142 145,92
B 143,143 243,143 146,93
G 144,144 244,144 147,94
R 145,145 245,145 148,95
B 146,146 246,146 149,96
G 147,147 247,147 150,97
R 148,148 248,148 151,98
B 149,149 249,149 152,99
G 150,150 250,150 153,100
R 151,151 251,151 154,101
B 152,152 252,152 155,102
G 153,153 253,153 156,103
R 154,154 254,154 157,104
B 155,155 255,155 158,105
G 156,156 256,156 159,106
R 157,157 257,157 160,107
B 158,158 258,158 161,108
G 159,159 259,159 162,109
R 160,160 260,160 163,110
B 161,161 261,161 164,111
G 162,162 262,162 165,112
R 163,163 263,163 166,113
B 164,164 264,164 167,114
G 165,165 265,165 168,115
R 166,166 266,166 169,116
B 167,167 267,167 170,117
G 168,168 268,168 171,118
R 169,169 269,169 172,119
